uid,avg_time
0000348F61881026FE0036840F25309F,187.52872
0000B0540F08BB99C22D22219A1B47A2,624.78394
00022474E06735ACCAC428E1AC7EAC16,907.7082
00028CD7D203AF88C4FE4D0A83A0016E,190.07964
000343EFFAAF27FE66CAD41434814C71,187.52872
00046AA87AAF8C9971F99597ED7D90DF,715.14636
00050A1B07C0BD248726E0385D04D657,247.25957
0005BB047145A248C3878E7E516A093D,501.36508
0006506ECE84442A678FC8592E4C3EB4,187.41544
0006AF38FDCBF38C2A5014B69F23C03A,187.52872
0009514C53AB4B46CB54D47C48747559,187.52872
000BAAE919BA2557AC8AD58A7276AA3A,186.10863
000BAC3E23007010346E79B1ED5D25E2,440.9082
000C1F225DAAEDE0DF4FCAED6DE7EF3C,187.52872
000D8503D19B85B20D7884A3C3B114BD,199.91425
000EE8F9E894174B960A7A907F04ADBF,187.52872
000F53F3E09B16740B6B76C3C27E5953,187.52872
000FA718C516FA03B3EC27652BA5DD73,187.52872
00133AFC39ACF35799E8956D183D6417,187.52872
0015AE689CD28553CB5FD29E394C7D11,219.45476
00162AF5828E9DC44292C8AC9CF82D85,307.51602
0017D171EFC2913399F93B6201505426,224.41829
0017D39427FE74D9F9C614626D8FE94A,187.52872
0018590FBC9209FB7A3F1E1469486289,241.51059
0019635328242787E9F55F0A69653921,187.52872
001977B48BE36831271784088BEF4B84,187.52872
00197C6E56EF66C2FEDC10ADA2C80449,187.52872
001A7AE4375E43D5ED4FD247FD9C0577,187.52872
001C3DB1F919774C8221D84DD7E5E791,187.52872
0024D5C6AE3A14A6E58C13CF558F04AA,608.07806
0024F28D708D34E566B92B6AFC7C37C6,187.52872
0029F7BD0CD04787727AA93B9C980679,187.52872
002A2B5D60C0854968191F12DFD0A222,287.16125
002A48F0A564F1CC735D8E2D9DFCCF36,187.52872
002A50758A427F6EDCD09DF7AA3FA673,235.21411
002B3F0E736F9FC7F098178055DA0E4F,187.52872
002C54B04B5E0F8552691A67DC7C4229,187.52872
002E27021DF627EF2846679E6A9586D8,187.52872
0030D7B08A7823479B72A38745853C8C,187.52872
0033C8183C1CD98B042A781C58BC706D,187.52872
00344A0C6F8352EBCEE0961D2FD6001C,420.33832
