uid,cluster
0000348F61881026FE0036840F25309F,2
00028CD7D203AF88C4FE4D0A83A0016E,0
000343EFFAAF27FE66CAD41434814C71,0
00046AA87AAF8C9971F99597ED7D90DF,0
00050A1B07C0BD248726E0385D04D657,0
0005BB047145A248C3878E7E516A093D,0
0006506ECE84442A678FC8592E4C3EB4,0
0006AF38FDCBF38C2A5014B69F23C03A,0
0009514C53AB4B46CB54D47C48747559,2
000BAAE919BA2557AC8AD58A7276AA3A,0
000BAC3E23007010346E79B1ED5D25E2,2
000C1F225DAAEDE0DF4FCAED6DE7EF3C,0
000D8503D19B85B20D7884A3C3B114BD,0
000F53F3E09B16740B6B76C3C27E5953,0
000FA718C516FA03B3EC27652BA5DD73,0
00133AFC39ACF35799E8956D183D6417,0
0015AE689CD28553CB5FD29E394C7D11,0
0017D171EFC2913399F93B6201505426,0
0017D39427FE74D9F9C614626D8FE94A,0
0018590FBC9209FB7A3F1E1469486289,0
0019635328242787E9F55F0A69653921,0
001977B48BE36831271784088BEF4B84,2
00197C6E56EF66C2FEDC10ADA2C80449,2
001A7AE4375E43D5ED4FD247FD9C0577,2
001C3DB1F919774C8221D84DD7E5E791,0
0024D5C6AE3A14A6E58C13CF558F04AA,2
0024F28D708D34E566B92B6AFC7C37C6,2
0029F7BD0CD04787727AA93B9C980679,0
002A2B5D60C0854968191F12DFD0A222,0
002A50758A427F6EDCD09DF7AA3FA673,0
002C54B04B5E0F8552691A67DC7C4229,0
0030D7B08A7823479B72A38745853C8C,2
0033C8183C1CD98B042A781C58BC706D,2
00344A0C6F8352EBCEE0961D2FD6001C,2
0036CD1D41364E716E264801B7BBD2CA,2
003945EF1BE2D66EE801A2F09DDF702C,0
003A8891295BA3EA3A92E0F4B8F9CE42,0
003B1129BF88A463CEAE55D9F92B2F45,0
003D36430DEA26C19AA29DE22E90BC79,2
003D41F053AAD6E04B2DB740C855E044,0
003FB8AD3313F63709B406E6EE821EE0,0
0041D670678FBCF741DA50973586EC1B,0
004249BC1C5012600580B641795C749B,1
004347B5DA8327084ACBBF3EF1FAE907,3
00454FBA1FA7C6FE0920F9430999CCB2,4
004564EE01486EF9311157E481BFBEFE,0
00461BBFCA78688089EFBCBC4103DA79,0
004769FA7C1D41E19A2A12DA161EE978,2
0047D72187384C01011C4F32F6C6CE0F,0
0049B0699AA4C960F1CE4F3A14D11A4A,0
004A9B299275EB655EA48734EA3098D8,2
004E6FB5312635FDEF91D09158E23A4C,0
0050AE70E6B2B01E010ABBEAD2A97E72,0
0050DD840233290B13B42F5A3A1D433E,1
0053E02FCB41C7DAC43C94200DEFFAE3,0
00546BB3D290B8CAA9DAA6447742AAF8,2
0054AB18F0DBDEBE9877D0AEDA1EBFD4,0
0055100271C7AD493DDCADBCCF683337,0
00576E8A2623B6952FA78DA5C3522D78,0
005827219223C91C56553F7FB46D6C34,0
005AFE4441A8BD5FFB58B800C5A49D84,1
005B9D33F321DAD36E1889A339CB8DEA,0
005BA677F7E36E52709C3C78F22A7856,0
005BEDD428992FC920078C5489AF0E22,0
005CBDDBB52E8280568F6C9553C13C59,4
005E4EB81B3DC17977801EDBD8C673EC,0
0061FF8DC7B67EF645987A0E268C6B3C,0
0065C511062B90BB19A8485948015941,0
0066E0D6FBF340A22549F79FF4D79BE9,0
0067B460E400EBF5268670638EF40809,0
0068BE0D51FEF87BA6C735002E1A194A,0
0069210D40C20B093FA45D96773426AF,0
006944E291818393E0CD29A338AF71C1,0
006AE77B29F983C3C4A9C8AA12881C98,0
006EA7CDAAD40090C71C91C4FD87C1C6,0
00714E796D410DCDAAE1CE231D713072,0
007481C7AD3AAA214C84F12364CAE102,0
0074CB77737FDEF0DA492EBF152A5E42,0
0075DAF817BEE8AB06C59BC68AC16482,2
0077866E8EAE4CB327DE1389C729BE79,2
0077B56DAAA9CEEF005D711598383C79,0
007B757C147692F3918FAF90487E5C69,0
007BD9E1BBCE61C4343D2EDABDCD22B7,0
007CBD434C6C7D56DDBE33EB43BFCD88,0
007D616C0F7E26D922311861ABDA1BB8,0
007D99E3D7BA93DE387B8D551455C0BD,2
007EFF707C196C630768F634260049DA,0
007F99807A5404BF343035D4D9243B76,2
008078B294A4C975C965DAEB60D16DB6,0
00840E62B0B59165FBB6F9550CD6F6A5,0
0084166C195FE830351ED36AC8BE640A,0
00884D897DB55253569DB4ECA7B792A3,0
00886741F5710762EC05ABC902634496,0
008942A837E8177B70A1945B7B81E6E1,2
008A2337FF6E5AEBD492E9C999A919CD,0
008C2DE1EE91DF6D81568B6ABB628417,2
008C588B83075A85E0F04FF98845024E,0
008D13432807EAB3FA65215890BF90F3,4
00908E72AABD4F169BD51FC4DCC2DC2D,0
00915349CDB3F4BA1150CB40350AC4AC,0
00924DFAB8383434114306B43EBD15D4,0
00927310676E5467FDCE8BF6E560938C,0
00928A00E9C0AFFC5208A93936B647DE,0
0092B2FACAA5A790811A6D6E1845BE6A,2
00944CA4A42B882AB88E5353C3671D62,0
009497332169FC7EF522CB26F06758D5,2
0097084261EE335B0381F7FB637F7D66,0
0099345F8EB4043A3C776D081C9F4DC2,0
00996F8141D2D0A18337F7C1D491C339,0
009A4C2847B003EB7B9CF4342ED5C0DF,4
009BBD97DA56A6CCDAB8A9470FB1C25D,0
009C186EDF28BF6ABF6952F7CB412FA8,0
00A3357DCDB0324439693158F97AB10A,1
00A49B0BFD7DD654D5084D493AD4FC0A,0
00A5B9EA7BDB095253DF483E6837DBFF,0
00A6999BFB9CBF0619DA034F4CE638A3,0
00A6D1669D681700BE84CEA52DBEB380,2
00A9EF5F1B749A4AE5221C0BA11AA054,2
00AB3CE81F873440CE5E0AF6302EEEFE,0
00AB739B0E51E611B9A0D40B53A79D02,0
00B352059097510410EC7013356ECD11,2
00B3ED161432E58FB59EA34CA4476490,2
00B42715BA5A72816049DE13A24CDEDE,0
00B4C99D7E6DFE2CCE43A716E0977265,2
00B52D5CE82B9DE2A9E86B86F110AF65,0
00B6CDAEBF9AF8391506D61662645D52,0
00B902FB5B6EBBB261A605504A73E046,0
00BE2C3DC7CF088DAC4C4DE3203E6EC9,2
00C2CAF21F3289F45165757829BCD7A1,2
00C4E637EBD72E560B972449F6D20F56,2
00C54DAA44849D280B3A132075326FE7,0
00C5702F74541D668D146BA62B9764A1,2
00C5D4A3A4135C2C2E88C231A943A262,0
00C930CB5B5976DC83C82B394351967D,0
00C934BAA12B463663DBBD747566F981,2
00CBAFA2A877C42936A2C504C86C34B4,0
00CD3F5324B971A522AC357FA42953B7,0
00CDE45693BF62724B1D41D4D903E5DB,2
00D019EB30549E5EF90BCEBF5E277772,0
00D09B72D2FA36247ADB4F7C5AF7CB73,0
00D63DBB66DF12F41A43F708B84BAFF1,0
00D773F668B867FF2FABB1E3E4F07D04,0
00D9881BF85758D9FAEC97F8B5E20F78,0
00DD96AA4A840227C7BFB136BEE52FED,0
00DEDF34A03E67D9E324B7C0067A9158,2
00DFBE687CD32299879E8CEFD4584A3F,0
